match_id,date,matchday,home_team,away_team,home_score,away_score,status,result
535070,2025-07-16,14,CA Mineiro,SC Recife,,,POSTPONED,
535072,2025-07-16,14,EC Bahia,SC Internacional,,,POSTPONED,
535074,2025-07-16,14,EC Juventude,CR Vasco da Gama,,,POSTPONED,
535067,2025-07-16,14,SE Palmeiras,Mirassol FC,1.0,1.0,FINISHED,Draw
535073,2025-07-16,14,Ceará SC,SC Corinthians Paulista,0.0,1.0,FINISHED,Away
535068,2025-07-16,14,Santos FC,CR Flamengo,1.0,0.0,FINISHED,Home
535066,2025-07-17,14,Botafogo FR,EC Vitória,0.0,0.0,FINISHED,Draw
535069,2025-07-17,14,RB Bragantino,São Paulo FC,2.0,2.0,FINISHED,Draw
535065,2025-07-17,14,Fluminense FC,Cruzeiro EC,0.0,2.0,FINISHED,Away
535083,2025-07-19,15,Fortaleza EC,EC Bahia,1.0,1.0,FINISHED,Draw
535076,2025-07-19,15,CR Vasco da Gama,Grêmio FBPA,1.0,1.0,FINISHED,Draw
535079,2025-07-19,15,Mirassol FC,Santos FC,3.0,0.0,FINISHED,Home
535078,2025-07-20,15,São Paulo FC,SC Corinthians Paulista,2.0,0.0,FINISHED,Home
535081,2025-07-20,15,SC Internacional,Ceará SC,1.0,0.0,FINISHED,Home
535080,2025-07-20,15,Cruzeiro EC,EC Juventude,4.0,0.0,FINISHED,Home
535082,2025-07-20,15,EC Vitória,RB Bragantino,1.0,0.0,FINISHED,Home
535077,2025-07-20,15,SE Palmeiras,CA Mineiro,3.0,2.0,FINISHED,Home
535084,2025-07-20,15,SC Recife,Botafogo FR,0.0,1.0,FINISHED,Away
535075,2025-07-20,15,CR Flamengo,Fluminense FC,1.0,0.0,FINISHED,Home
535086,2025-07-23,16,CR Vasco da Gama,EC Bahia,,,POSTPONED,
535090,2025-07-23,16,CA Mineiro,Fortaleza EC,,,POSTPONED,
535091,2025-07-23,16,Grêmio FBPA,Botafogo FR,,,POSTPONED,
535085,2025-07-23,16,Fluminense FC,SE Palmeiras,1.0,2.0,FINISHED,Away
535093,2025-07-23,16,Ceará SC,Mirassol FC,0.0,2.0,FINISHED,Away
535087,2025-07-23,16,SC Corinthians Paulista,Cruzeiro EC,0.0,0.0,FINISHED,Draw
535088,2025-07-24,16,Santos FC,SC Internacional,1.0,2.0,FINISHED,Away
535089,2025-07-24,16,RB Bragantino,CR Flamengo,1.0,2.0,FINISHED,Away
535092,2025-07-24,16,EC Vitória,SC Recife,2.0,2.0,FINISHED,Draw
535094,2025-07-24,16,EC Juventude,São Paulo FC,0.0,1.0,FINISHED,Away
535096,2025-07-26,17,Botafogo FR,SC Corinthians Paulista,1.0,1.0,FINISHED,Draw
535099,2025-07-26,17,Mirassol FC,EC Vitória,1.0,1.0,FINISHED,Draw
535103,2025-07-26,17,Fortaleza EC,RB Bragantino,3.0,1.0,FINISHED,Home
535104,2025-07-26,17,SC Recife,Santos FC,2.0,2.0,FINISHED,Draw
535097,2025-07-27,17,SE Palmeiras,Grêmio FBPA,1.0,0.0,FINISHED,Home
535098,2025-07-27,17,São Paulo FC,Fluminense FC,3.0,1.0,FINISHED,Home
535100,2025-07-27,17,Cruzeiro EC,Ceará SC,1.0,2.0,FINISHED,Away
535101,2025-07-27,17,SC Internacional,CR Vasco da Gama,1.0,1.0,FINISHED,Draw
535102,2025-07-27,17,EC Bahia,EC Juventude,3.0,0.0,FINISHED,Home
535095,2025-07-27,17,CR Flamengo,CA Mineiro,,,IN_PLAY,
535071,2025-07-29,14,Grêmio FBPA,Fortaleza EC,,,TIMED,
535114,2025-08-02,18,SC Recife,EC Bahia,,,TIMED,
535109,2025-08-02,18,Mirassol FC,CR Vasco da Gama,,,TIMED,
535105,2025-08-03,18,Fluminense FC,Grêmio FBPA,,,TIMED,
535106,2025-08-03,18,Botafogo FR,Cruzeiro EC,,,TIMED,
535107,2025-08-03,18,SC Corinthians Paulista,Fortaleza EC,,,TIMED,
535110,2025-08-03,18,CA Mineiro,RB Bragantino,,,TIMED,
535113,2025-08-03,18,Ceará SC,CR Flamengo,,,TIMED,
535112,2025-08-03,18,EC Vitória,SE Palmeiras,,,TIMED,
535111,2025-08-03,18,SC Internacional,São Paulo FC,,,TIMED,
535108,2025-08-04,18,Santos FC,EC Juventude,,,TIMED,
535116,2025-08-09,19,CR Vasco da Gama,CA Mineiro,,,SCHEDULED,
535117,2025-08-09,19,SE Palmeiras,Ceará SC,,,SCHEDULED,
535120,2025-08-09,19,Cruzeiro EC,Santos FC,,,SCHEDULED,
535121,2025-08-09,19,Grêmio FBPA,SC Recife,,,SCHEDULED,
535124,2025-08-09,19,EC Juventude,SC Corinthians Paulista,,,SCHEDULED,
535115,2025-08-09,19,CR Flamengo,Mirassol FC,,,TIMED,
535118,2025-08-09,19,São Paulo FC,EC Vitória,,,TIMED,
535119,2025-08-09,19,RB Bragantino,SC Internacional,,,TIMED,
535123,2025-08-09,19,Fortaleza EC,Botafogo FR,,,TIMED,
535122,2025-08-10,19,EC Bahia,Fluminense FC,,,TIMED,
535126,2025-08-16,20,Botafogo FR,SE Palmeiras,,,SCHEDULED,
535128,2025-08-16,20,Santos FC,CR Vasco da Gama,,,SCHEDULED,
535129,2025-08-16,20,Mirassol FC,Cruzeiro EC,,,SCHEDULED,
535130,2025-08-16,20,CA Mineiro,Grêmio FBPA,,,SCHEDULED,
535131,2025-08-16,20,SC Internacional,CR Flamengo,,,SCHEDULED,
535125,2025-08-16,20,Fluminense FC,Fortaleza EC,,,TIMED,
